# seg	start	stop	duration
165	1371941080	1371951181	10101.0
166	1371961796	1371971514	9718.0
167	1371971600	1372008345	36745.0
168	1372011083	1372014091	3008.0
169	1372028451	1372033204	4753.0
170	1372034081	1372038980	4899.0
171	1372041937	1372043115	1178.0
172	1372045393	1372086714	41321.0
173	1372125173	1372126856	1683.0
174	1372126896	1372130640	3744.0
175	1372130670	1372171920	41250.0
176	1372177835	1372186186	8351.0
177	1372198888	1372231778	32890.0
178	1372240517	1372249329	8812.0
179	1372252640	1372260528	7888.0
180	1372289525	1372304314	14789.0
181	1372314618	1372328560	13942.0
182	1372348882	1372374390	25508.0
183	1372384690	1372384721	31.0
184	1372394270	1372421999	27729.0
185	1372425326	1372438563	13237.0
186	1372445425	1372456109	10684.0
187	1372465238	1372478537	13299.0
188	1372487854	1372493529	5675.0
189	1372503048	1372527117	24069.0
190	1372527251	1372528498	1247.0
191	1372537436	1372544543	7107.0
192	1372549784	1372564553	14769.0
193	1372570113	1372618858	48745.0
194	1372633378	1372654214	20836.0
195	1372658052	1372692150	34098.0
196	1372692271	1372723478	31207.0
197	1372723874	1372737705	13831.0
198	1372746299	1372797738	51439.0
199	1372797773	1372798857	1084.0
200	1372811832	1372912494	100662.0
201	1372912651	1372924077	11426.0
202	1372924158	1372942871	18713.0
203	1373002147	1373011074	8927.0
204	1373022066	1373039882	17816.0
205	1373047498	1373056499	9001.0
206	1373073456	1373117279	43823.0
207	1373142621	1373146939	4318.0
208	1373157084	1373163390	6306.0
209	1373163925	1373208546	44621.0
210	1373245500	1373271010	25510.0
211	1373277824	1373300109	22285.0
212	1373306214	1373307153	939.0
213	1373324597	1373362381	37784.0
214	1373375820	1373386700	10880.0
215	1373394461	1373400141	5680.0
216	1373417136	1373483208	66072.0
217	1373490505	1373513048	22543.0
218	1373516441	1373525677	9236.0
219	1373553370	1373562318	8948.0
220	1373575415	1373576254	839.0
221	1373583056	1373598992	15936.0
222	1373614097	1373645472	31375.0
223	1373649062	1373650932	1870.0
224	1373658601	1373666600	7999.0
225	1373673717	1373710713	36996.0
226	1373760055	1373761596	1541.0
227	1373774134	1373779899	5765.0
228	1373780326	1373787547	7221.0
229	1373796997	1373806682	9685.0
230	1373811481	1373812019	538.0
231	1373813456	1373821609	8153.0
232	1373822194	1373827872	5678.0
233	1373828054	1373829056	1002.0
234	1373843681	1373850087	6406.0
235	1373860025	1373866044	6019.0
236	1373866114	1373866142	28.0
237	1373866359	1373886052	19693.0
238	1373895167	1373895229	62.0
239	1373897902	1373897963	61.0
240	1373902450	1373902664	214.0
241	1373927335	1373930734	3399.0
242	1373940334	1373971723	31389.0
243	1374012149	1374012342	193.0
244	1374012413	1374072120	59707.0
245	1374072541	1374092356	19815.0
246	1374093824	1374096942	3118.0
247	1374097221	1374098663	1442.0
248	1374112171	1374129318	17147.0
249	1374129347	1374135538	6191.0
250	1374135557	1374155106	19549.0
251	1374161238	1374194501	33263.0
252	1374200814	1374206957	6143.0
253	1374206969	1374230823	23854.0
254	1374269044	1374273982	4938.0
255	1374292527	1374298866	6339.0
256	1374303416	1374320896	17480.0
257	1374321634	1374327328	5694.0
258	1374369269	1374398226	28957.0
259	1374398365	1374404265	5900.0
260	1374448987	1374472570	23583.0
261	1374472573	1374490389	17816.0
262	1374537329	1374575882	38553.0
263	1374611099	1374620514	9415.0
264	1374621946	1374624688	2742.0
265	1374634151	1374634695	544.0
266	1374634958	1374644680	9722.0
267	1374647579	1374659084	11505.0
268	1374659087	1374714905	55818.0
269	1374723337	1374724175	838.0
270	1374724501	1374736185	11684.0
271	1374736425	1374736452	27.0
272	1374736733	1374738349	1616.0
273	1374738634	1374740003	1369.0
274	1374740249	1374740488	239.0
275	1374740770	1374743860	3090.0
276	1374744096	1374745857	1761.0
277	1374746140	1374746441	301.0
278	1374746726	1374747487	761.0
279	1374747767	1374749718	1951.0
280	1374749973	1374750421	448.0
281	1374750710	1374750971	261.0
282	1374751280	1374751294	14.0
283	1374751902	1374777586	25684.0
284	1374784440	1374817820	33380.0
285	1374832347	1374835912	3565.0
286	1374874753	1374875804	1051.0
287	1374876598	1374913617	37019.0
288	1374916779	1374922264	5485.0
289	1374962554	1374963114	560.0
290	1374963379	1374969747	6368.0
291	1374973090	1374992237	19147.0
292	1374992281	1374993286	1005.0
293	1375000387	1375001014	627.0
294	1375001017	1375008358	7341.0
295	1375066722	1375091971	25249.0
296	1375142616	1375145937	3321.0
297	1375150983	1375151956	973.0
298	1375152568	1375182155	29587.0
299	1375188036	1375188039	3.0
300	1375214799	1375216873	2074.0
301	1375219636	1375219842	206.0
302	1375219851	1375239695	19844.0
303	1375239834	1375252379	12545.0
304	1375252392	1375272058	19666.0
305	1375276218	1375281535	5317.0
306	1375285532	1375290545	5013.0
307	1375290558	1375293365	2807.0
308	1375297900	1375299348	1448.0
309	1375306828	1375321840	15012.0
310	1375327073	1375335894	8821.0
311	1375343160	1375344304	1144.0
312	1375346519	1375364096	17577.0
313	1375381741	1375390258	8517.0
314	1375392662	1375396103	3441.0
315	1375402953	1375407283	4330.0
316	1375428542	1375428550	8.0
317	1375476431	1375485126	8695.0
318	1375491642	1375495812	4170.0
319	1375499487	1375506199	6712.0
320	1375506707	1375516044	9337.0
321	1375516646	1375516691	45.0
322	1375516843	1375516883	40.0
323	1375520590	1375525123	4533.0
324	1375567688	1375573349	5661.0
325	1375574730	1375577050	2320.0
326	1375577106	1375591572	14466.0
327	1375591734	1375598825	7091.0
328	1375603943	1375609033	5090.0
329	1375665648	1375674493	8845.0
330	1375674629	1375686321	11692.0
331	1375693847	1375700279	6432.0
332	1375743834	1375751457	7623.0
333	1375755406	1375763125	7719.0
334	1375785088	1375786187	1099.0
335	1375823155	1375832486	9331.0
336	1375832573	1375856932	24359.0
337	1375861996	1375884054	22058.0
338	1375884057	1375893334	9277.0
339	1375893375	1375897024	3649.0
340	1375897039	1375898351	1312.0
341	1375898361	1375908229	9868.0
342	1375908241	1375939199	30958.0
343	1375945698	1375953006	7308.0
344	1375953085	1375953767	682.0
345	1375953846	1376000183	46337.0
346	1376004836	1376018755	13919.0
347	1376021296	1376045676	24380.0
348	1376048805	1376048866	61.0
349	1376050859	1376050907	48.0
350	1376079547	1376088258	8711.0
351	1376092845	1376100594	7749.0
352	1376111484	1376132484	21000.0
353	1376186604	1376189494	2890.0
354	1376199620	1376209643	10023.0
355	1376209722	1376216060	6338.0
356	1376218907	1376226407	7500.0
357	1376233075	1376237774	4699.0
358	1376241396	1376247743	6347.0
359	1376271363	1376274185	2822.0
360	1376287340	1376327847	40507.0
361	1376340002	1376343100	3098.0
362	1376349032	1376364536	15504.0
363	1376364572	1376376122	11550.0
364	1376376143	1376400466	24323.0
365	1376400544	1376408765	8221.0
366	1376408770	1376415377	6607.0
367	1376420271	1376428067	7796.0
368	1376436578	1376454709	18131.0
369	1376454890	1376477849	22959.0
370	1376482352	1376493071	10719.0
371	1376500724	1376510078	9354.0
372	1376512592	1376513904	1312.0
373	1376516301	1376518758	2457.0
374	1376536647	1376547702	11055.0
375	1376561784	1376593156	31372.0
376	1376593295	1376595874	2579.0
377	1376595986	1376596031	45.0
378	1376596101	1376603281	7180.0
379	1376610465	1376667765	57300.0
380	1376668085	1376678293	10208.0
381	1376683752	1376693999	10247.0
382	1376698273	1376748115	49842.0
383	1376775929	1376815347	39418.0
384	1376815426	1376836833	21407.0
385	1376847322	1376852515	5193.0
386	1376866910	1376956243	89333.0
387	1376959611	1377029811	70200.0
388	1377036570	1377064623	28053.0
389	1377086176	1377106920	20744.0
390	1377106959	1377126490	19531.0
391	1377136294	1377147990	11696.0
392	1377152727	1377177696	24969.0
393	1377177741	1377208675	30934.0
394	1377212200	1377217318	5118.0
395	1377218100	1377220099	1999.0
396	1377226507	1377241924	15417.0
397	1377245781	1377258767	12986.0
398	1377270400	1377288870	18470.0
399	1377309427	1377323959	14532.0
400	1377324482	1377332867	8385.0
401	1377332946	1377352818	19872.0
402	1377404431	1377435783	31352.0
403	1377435938	1377443571	7633.0
404	1377470811	1377471009	198.0
405	1377471350	1377472825	1475.0
406	1377478994	1377496878	17884.0
407	1377499218	1377531645	32427.0
408	1377534439	1377541830	7391.0
409	1377547788	1377547943	155.0
410	1377548061	1377550447	2386.0
411	1377555875	1377557272	1397.0
412	1377561457	1377567839	6382.0
413	1377567924	1377578167	10243.0
414	1377583484	1377586828	3344.0
415	1377590825	1377619023	28198.0
416	1377619205	1377628697	9492.0
417	1377665709	1377686649	20940.0
418	1377691574	1377722764	31190.0
419	1377727765	1377733699	5934.0
420	1377737263	1377739733	2470.0
421	1377743427	1377762776	19349.0
422	1377765751	1377767410	1659.0
423	1377773127	1377820187	47060.0
424	1377823360	1377823747	387.0
425	1377823832	1377896013	72181.0
426	1377903753	1377907969	4216.0
427	1377914319	1377914478	159.0
428	1377918461	1377918909	448.0
429	1377919064	1377935334	16270.0
430	1377939803	1377940421	618.0
431	1377944351	1377949617	5266.0
432	1377982666	1377983433	767.0
433	1377988668	1378010640	21972.0
434	1378016695	1378021048	4353.0
435	1378024512	1378040744	16232.0
436	1378048918	1378048989	71.0
437	1378048996	1378055180	6184.0
438	1378060064	1378060252	188.0
439	1378077116	1378079940	2824.0
440	1378088395	1378110282	21887.0
441	1378110361	1378135863	25502.0
442	1378136327	1378141483	5156.0
443	1378145374	1378159274	13900.0
444	1378163210	1378164358	1148.0
445	1378164760	1378165455	695.0
446	1378178205	1378200841	22636.0
447	1378211421	1378218017	6596.0
448	1378223529	1378223865	336.0
449	1378242148	1378244506	2358.0
450	1378278430	1378311317	32887.0
451	1378316096	1378334320	18224.0
452	1378337249	1378342358	5109.0
453	1378349335	1378356078	6743.0
454	1378356189	1378363590	7401.0
455	1378369222	1378425606	56384.0
456	1378427407	1378427595	188.0
457	1378428550	1378429289	739.0
458	1378429532	1378430133	601.0
459	1378430456	1378430717	261.0
460	1378432143	1378434310	2167.0
461	1378435388	1378436054	666.0
462	1378436320	1378436551	231.0
463	1378438642	1378443665	5023.0
464	1378444059	1378445651	1592.0
465	1378463257	1378463387	130.0
466	1378463481	1378463797	316.0
467	1378464013	1378465540	1527.0
468	1378465664	1378465831	167.0
469	1378466870	1378467178	308.0
470	1378468659	1378469494	835.0
471	1378471617	1378481754	10137.0
472	1378486284	1378490884	4600.0
473	1378490887	1378497008	6121.0
474	1378498040	1378505813	7773.0
475	1378511108	1378526085	14977.0
476	1378528583	1378555585	27002.0
477	1378560398	1378562459	2061.0
478	1378587276	1378587566	290.0
479	1378587647	1378600864	13217.0
480	1378604666	1378609316	4650.0
481	1378612150	1378617006	4856.0
482	1378625960	1378642173	16213.0
483	1378646830	1378665025	18195.0
484	1378681948	1378701964	20016.0
485	1378706661	1378762648	55987.0
486	1378767218	1378837599	70381.0
487	1378840877	1378842864	1987.0
488	1378847979	1378868512	20533.0
489	1378868611	1378917534	48923.0
490	1378924877	1378952792	27915.0
491	1378957866	1378971945	14079.0
492	1378977233	1378985443	8210.0
493	1378993266	1379024528	31262.0
494	1379028072	1379042625	14553.0
495	1379046035	1379079880	33845.0
496	1379098496	1379121289	22793.0
497	1379121405	1379129237	7832.0
498	1379138960	1379142972	4012.0
499	1379194069	1379197820	3751.0
500	1379202951	1379255904	52953.0
501	1379269231	1379271626	2395.0
502	1379288839	1379292185	3346.0
503	1379299194	1379328549	29355.0
504	1379346477	1379352381	5904.0
505	1379381016	1379414536	33520.0
506	1379434244	1379445223	10979.0
507	1379448144	1379449435	1291.0
508	1379453499	1379454508	1009.0
509	1379454797	1379461266	6469.0
510	1379461366	1379462864	1498.0
511	1379464050	1379482799	18749.0
512	1379498550	1379531346	32796.0
513	1379531437	1379531442	5.0
514	1379540060	1379586291	46231.0
515	1379593319	1379616500	23181.0
516	1379630377	1379695340	64963.0
517	1379698887	1379726789	27902.0
518	1379745181	1379745851	670.0
519	1379746807	1379772023	25216.0
520	1379799472	1379805676	6204.0
521	1379815125	1379845756	30631.0
522	1379852881	1379871922	19041.0
523	1379905356	1379908186	2830.0
524	1379912659	1379961155	48496.0
525	1379967271	1379968255	984.0
526	1379972049	1379974596	2547.0
527	1379975090	1379975300	210.0
528	1379976713	1379983081	6368.0
529	1379992953	1379993259	306.0
530	1379993638	1379993866	228.0
531	1379995016	1379995230	214.0
532	1379996215	1379996530	315.0
533	1380005275	1380008564	3289.0
534	1380018372	1380049237	30865.0
535	1380056782	1380056956	174.0
536	1380061614	1380067518	5904.0
537	1380071779	1380174305	102526.0
538	1380177526	1380196644	19118.0
539	1380202286	1380204576	2290.0
540	1380228650	1380234073	5423.0
541	1380250145	1380297600	47455.0
542	1380303193	1380319054	15861.0
543	1380319063	1380319138	75.0
544	1380319144	1380364509	45365.0
545	1380368454	1380370672	2218.0
546	1380406503	1380408398	1895.0
547	1380414828	1380424213	9385.0
548	1380428921	1380433144	4223.0
549	1380441901	1380455034	13133.0
550	1380467392	1380481315	13923.0
551	1380495308	1380509513	14205.0
552	1380517542	1380562479	44937.0
553	1380562543	1380573583	11040.0
554	1380582449	1380594229	11780.0
555	1380602144	1380647689	45545.0
556	1380647743	1380658604	10861.0
557	1380658653	1380689677	31024.0
558	1380720832	1380747591	26759.0
559	1380748453	1380753423	4970.0
560	1380756314	1380759916	3602.0
561	1380760001	1380767485	7484.0
562	1380775606	1380784246	8640.0
563	1380788279	1380827602	39323.0
564	1380834619	1380853382	18763.0
565	1380857378	1380863768	6390.0
566	1380867753	1380880698	12945.0
567	1380923211	1380924524	1313.0
568	1380926864	1380928009	1145.0
569	1380929965	1380943186	13221.0
570	1380945609	1380968453	22844.0
571	1380971042	1380981800	10758.0
572	1381006750	1381007110	360.0
573	1381007122	1381021292	14170.0
574	1381032869	1381046905	14036.0
575	1381054280	1381071741	17461.0
576	1381076538	1381086140	9602.0
577	1381205782	1381205860	78.0
578	1381206458	1381227541	21083.0
579	1381232332	1381241245	8913.0
580	1381244463	1381248324	3861.0
581	1381255348	1381259006	3658.0
582	1381259314	1381260799	1485.0
583	1381260861	1381266396	5535.0
584	1381266423	1381345005	78582.0
585	1381345025	1381377907	32882.0
586	1381404891	1381429070	24179.0
587	1381433900	1381461554	27654.0
588	1381467491	1381491761	24270.0
589	1381502650	1381508635	5985.0
590	1381522455	1381524007	1552.0
591	1381524041	1381531322	7281.0
592	1381531358	1381559217	27859.0
593	1381565830	1381586724	20894.0
594	1381614722	1381616197	1475.0
595	1381617204	1381618129	925.0
596	1381618561	1381629198	10637.0
597	1381634778	1381682932	48154.0
598	1381683391	1381690862	7471.0
599	1381705706	1381757268	51562.0
600	1381759506	1381773018	13512.0
601	1381773175	1381774437	1262.0
602	1381779693	1381780792	1099.0
603	1381780979	1381867220	86241.0
604	1381878522	1381910740	32218.0
605	1381956615	1381958564	1949.0
606	1381964628	1381984866	20238.0
607	1381996587	1382036392	39805.0
608	1382041719	1382041839	120.0
609	1382122908	1382133687	10779.0
610	1382133803	1382134516	713.0
611	1382147460	1382175338	27878.0
612	1382237533	1382253580	16047.0
613	1382259592	1382260974	1382.0
614	1382270420	1382285175	14755.0
615	1382287987	1382290176	2189.0
616	1382294130	1382296090	1960.0
617	1382311894	1382315366	3472.0
618	1382315426	1382315431	5.0
619	1382315491	1382315496	5.0
620	1382315556	1382315561	5.0
621	1382331959	1382349602	17643.0
622	1382359847	1382373495	13648.0
623	1382381383	1382381855	472.0
624	1382392741	1382417356	24615.0
625	1382427849	1382444233	16384.0
626	1382448668	1382456443	7775.0
627	1382457400	1382472112	14712.0
628	1382487465	1382497863	10398.0
629	1382509559	1382534786	25227.0
630	1382534861	1382535534	673.0
631	1382535975	1382549718	13743.0
632	1382557608	1382561227	3619.0
633	1382570097	1382578141	8044.0
634	1382584559	1382593907	9348.0
635	1382599445	1382611809	12364.0
636	1382617753	1382630506	12753.0
637	1382638712	1382639449	737.0
638	1382639519	1382653997	14478.0
639	1382654808	1382674548	19740.0
640	1382681927	1382689306	7379.0
641	1382698209	1382717150	18941.0
642	1382928002	1382928147	145.0
643	1382928761	1382933303	4542.0
644	1382936357	1382972692	36335.0
645	1382973491	1382976184	2693.0
646	1382976202	1383015629	39427.0
647	1383016143	1383019222	3079.0
648	1383055295	1383056189	894.0
649	1383056932	1383074221	17289.0
650	1383104293	1383107481	3188.0
651	1383107565	1383172395	64830.0
652	1383183510	1383192739	9229.0
653	1383251102	1383251230	128.0
654	1383251245	1383251824	579.0
655	1383260273	1383260344	71.0
656	1383264768	1383284023	19255.0
657	1383287548	1383346363	58815.0
658	1383351190	1383373362	22172.0
659	1383436922	1383455542	18620.0
660	1383479269	1383485143	5874.0
661	1383500560	1383508832	8272.0
662	1383526046	1383588154	62108.0
663	1383588371	1383612045	23674.0
664	1383623739	1383629282	5543.0
665	1383634020	1383657784	23764.0
666	1383661781	1383673200	11419.0
667	1383680263	1383685787	5524.0
668	1383703496	1383703506	10.0
669	1383708344	1383710984	2640.0
670	1383710989	1383721742	10753.0
671	1383725878	1383737191	11313.0
672	1383737251	1383737256	5.0
